id,year,month,day,hr,min,sec,Lat,Lon,depth,Mw,time_date
280,2016,10,27,11,8,0,42.9788,13.0495,10,3.06,27/10/2016 11:08
281,2016,10,27,12,19,0,43.0225,13.1278,9.8,3.54,27/10/2016 12:19
282,2016,10,27,12,27,42,43.0322,13.134,9,3.16,27/10/2016 12:27
283,2016,10,27,12,29,15,43.0237,13.1362,8,3.08,27/10/2016 12:29
284,2016,10,27,12,47,17,42.8853,13.0765,9.6,3.07,27/10/2016 12:47
285,2016,10,27,14,9,5,42.7917,13.1598,7.5,3.08,27/10/2016 14:09
286,2016,10,27,14,37,53,42.8955,13.171,7.6,3.04,27/10/2016 14:37
287,2016,10,27,16,14,50,42.9542,13.0682,9.8,3.26,27/10/2016 16:14
288,2016,10,27,17,22,23,42.841,13.1002,8.6,4.19,27/10/2016 17:22
289,2016,10,27,17,23,43,42.846,13.1085,8.4,4.04,27/10/2016 17:23
290,2016,10,27,17,23,43,42.846,13.1085,8.4,3.93,27/10/2016 17:23
291,2016,10,27,17,27,33,43.0108,13.1197,8.8,3.44,27/10/2016 17:27
292,2016,10,27,18,50,29,42.8283,13.1455,9.1,3.12,27/10/2016 18:50
293,2016,10,27,20,1,55,42.9918,13.0585,9.7,3.21,27/10/2016 20:01
294,2016,10,27,20,10,55,42.8968,13.0503,10.7,3.11,27/10/2016 20:10
295,2016,10,27,23,35,50,42.8683,13.155,8.6,3.1,27/10/2016 23:35
296,2016,10,28,0,14,3,42.9637,13.0692,9.6,3.28,28/10/2016 00:14
297,2016,10,28,1,19,44,42.8157,13.119,8.3,3.03,28/10/2016 01:19
298,2016,10,28,1,55,9,42.9953,13.1443,8.7,3.34,28/10/2016 01:55
299,2016,10,28,2,13,19,43.0292,13.1225,7.7,3.45,28/10/2016 02:13
300,2016,10,28,2,33,53,42.9935,13.1488,9,3.28,28/10/2016 02:33
301,2016,10,28,2,40,20,42.9998,13.1423,7.1,3.11,28/10/2016 02:40
302,2016,10,28,2,40,58,42.9443,13.0443,12,3.25,28/10/2016 02:40
303,2016,10,28,3,0,12,43.0043,13.1402,5.3,3.39,28/10/2016 03:00
304,2016,10,28,3,51,14,42.86,13.0437,10.7,3.33,28/10/2016 03:51
